id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
0,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
1,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
2,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
3,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
4,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
5,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
6,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
7,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
8,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
9,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
10,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
11,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
12,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
13,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
14,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
15,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
16,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
17,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
18,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
19,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
20,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
21,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
22,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
23,F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
24,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
25,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
26,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
27,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
28,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
29,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
30,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
31,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
32,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
33,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
34,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8
35,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
36,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
37,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
38,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
39,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
40,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8
41,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11
42,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
43,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
44,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
45,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
46,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
47,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
48,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
49,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
50,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
51,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
52,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
53,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
54,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
55,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
56,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
57,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
58,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
59,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
60,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
61,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
62,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10
63,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
64,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
65,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
66,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
67,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
68,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
69,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
70,I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
71,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
72,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
73,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
74,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
75,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
