id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,shell_humidity_weight
0,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,0.13
1,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8,0.14
2,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,0.0
3,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,0.44
4,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,0.34
5,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19,0.37
6,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,0.4
7,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,0.14
8,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,0.07
9,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11,0.4
10,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11,0.67
11,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,0.24
12,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,0.1
13,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,0.05
14,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,0.16
15,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10,0.17
16,I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,7,0.08
17,I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7,0.06
18,I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4,0.02
19,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,0.24
20,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.29
21,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6,0.08
22,I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8,0.19
23,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,0.3
24,F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9,0.41
25,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,0.07
26,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,0.18
27,I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6,0.06
28,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,0.23
29,F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,0.27
30,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,0.28
31,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,0.01
32,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8,0.07
33,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8,0.05
34,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8,0.49
35,I,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10,0.62
36,M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,11,0.39
37,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,0.22
38,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9,0.22
39,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8,0.12
40,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9,0.33
41,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10,0.28
42,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
43,M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10,0.46
44,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7,0.13
45,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,0.2
46,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,0.05
47,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7,0.13
48,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11,0.29
49,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,0.08
50,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9,0.2
51,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.48
52,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8,0.21
53,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10,0.42
54,F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10,0.43
55,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10,0.28
56,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7,0.13
57,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11,0.42
58,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10,0.06
59,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,0.03
60,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9,0.24
61,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9,0.14
62,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11,0.3
63,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9,0.05
64,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8,0.05
65,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,0.1
66,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8,0.15
67,I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7,0.07
68,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.31
69,F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9,0.18
70,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7,0.05
71,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,0.37
72,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0.11
73,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5,0.03
74,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,0.03
75,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8,0.16
76,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7,0.08
77,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,0.12
78,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,0.23
79,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,0.53
80,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,0.05
81,F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11,0.28
82,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16,0.21
83,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13,0.32
84,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7,0.07
85,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,0.08
86,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7,0.05
87,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20,0.27
88,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,0.18
89,F,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10,0.34
90,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19,0.29
91,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,0.39
92,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.31
93,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11,0.33
94,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10,0.41
95,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10,0.45
96,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,0.32
97,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
98,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,0.05
99,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,0.19
100,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8,0.12
101,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7,0.04
102,F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11,0.19
103,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11,0.47
104,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10,0.21
105,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,0.21
106,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10,0.21
107,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,0.07
108,F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10,0.31
109,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9,0.16
110,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9,0.17
